시점,분류,범죄발생장소,데이터
2019,협박,유흥접객업소,1533
2019,협박,사무실,797
2019,협박,공장,67
2019,협박,공사장광산,60
2019,협박,창고,10
2019,협박,역대합실,42
2019,협박,지하철,16
2019,협박,기타교통수단내,133
2019,협박,흥행장,10
2019,협박,유원지,102
2019,협박,학교,115
2019,협박,금융기관,28
2019,협박,의료기관,176
2019,협박,종교기관,45
2019,협박,산야,48
2019,협박,해상,12
2019,협박,부대,3
2019,협박,구금장소,4
2019,협박,공지,2
2019,협박,주차장,262
2019,협박,공중화장실,7
2019,협박,PC방,33
2019,약취·유인,아파트 연립다세대,41
2019,약취·유인,단독주택,26
2019,약취·유인,고속도로,0
2019,약취·유인,노상,102
2019,약취·유인,백화점,0
2019,약취·유인,슈퍼마켓,1
2019,약취·유인,편의점,0
2019,약취·유인,대형할인매장,0
2019,약취·유인,상점,2
2019,약취·유인,시장노점,0
2019,약취·유인,숙박업소 목욕탕,11
2019,약취·유인,유흥접객업소,8
2019,약취·유인,사무실,3
2019,약취·유인,공장,0
2019,약취·유인,공사장광산,0
2019,약취·유인,창고,0
2019,약취·유인,역대합실,3
2019,약취·유인,지하철,0
2019,약취·유인,기타교통수단내,3
2019,약취·유인,흥행장,0
2019,약취·유인,유원지,5
2019,약취·유인,학교,16
2019,약취·유인,금융기관,1
2019,약취·유인,의료기관,3
2019,약취·유인,종교기관,1
2019,약취·유인,산야,0
2019,약취·유인,해상,1
2019,약취·유인,부대,0
2019,약취·유인,구금장소,0
2019,약취·유인,공지,0
2019,약취·유인,주차장,2
2019,약취·유인,공중화장실,2
2019,약취·유인,PC방,0
2019,폭력행위등,아파트 연립다세대,579
2019,폭력행위등,단독주택,349
2019,폭력행위등,고속도로,3
2019,폭력행위등,노상,3923
2019,폭력행위등,백화점,1
2019,폭력행위등,슈퍼마켓,10
2019,폭력행위등,편의점,32
2019,폭력행위등,대형할인매장,1
2019,폭력행위등,상점,97
2019,폭력행위등,시장노점,121
